name,abbreviation,amount
Nuls,NULS,0.9
Oasis Network,ROSE,0.9
Internet Computer,ICP,0.002227
Siacoin,SC,4.35
IOST,IOST,3.9999
Viction,VIC,0.0571
Komodo,KMD,0.080678
Aave,AAVE,0.006
Qubic,QUBIC,54824
Bittensor,TAO,0.00182
Toncoin,TON,2.18
Bitcoin,BTC,0.02667
Solana,SOL,1.00559
Ethereum,ETH,0.028684
XRP,XRP,31.176
Cardano,ADA,27.1072
Aptos,APT,1.026
Chainlink,LINK,0.56
Cosmos,ATOM,1.2724
Tron,TRX,29.049
Render,RENDER,0.898
Polygon,POL,9.92
Dogecoin,DOGE,20.01
Avalanche,AVAX,0.122
Stellar,XLM,29.999
NEAR Protocol,NEAR,0.529752
Osmosis,OSMO,5.00073
VeChain,VET,81.44
Axelar,AXL,1.91373
Tezos,XTZ,1.808
Algorand,ALGO,9.991
BNB,BNB,0.001778
Injective,INJ,0.033
Arbitrum,ARB,0.97
Ontology,ONT,2
Flare,FLR,8
Ravencoin,RVN,1.9
Zilliqa,ZIL,2
Optimism,OP,0.015
DigiByte,DGB,3.09726
ICON,ICX,0.13306
Artificial Superintelligence Alliance,FET,1
Pepe,PEPE,119746.13818704
Litecoin,LTC,0.01
The Graph,GRT,2
Terra 2.0,LUNA,0.61652108
ORDI,ORDI,0.00299693
dogwifhat,WIF,0.04219671
FC Porto Fan Token,PORTO,0.0136724
Ren,REN,1
Polymesh,POLYX,0.08845643
Dusk,DUSK,0.10261672
ZKsync,ZK,0.16474464
io.net,IO,0.0115002
Bonk,BONK,952.15424898
Blur,BLUR,0.09451795
Numeraire,NMR,0.00141701
Sleepless AI,AI,0.05204267
iExec RLC,RLC,0.01424602
Renzo,REZ,0.56022408
Ethena,ENA,0.07434667
Origin Protocol,OGN,0.25575447
Chromia,CHR,0.11635686
Tensor,TNSR,0.06075094
BOOK OF MEME,BOME,3.22790511
Sei,SEI,0.04854816
Shiba Inu,SHIB,1199.61612284
Pyth Network,PYTH,0.06383436
JasmyCoin,JASMY,1
Starknet,STRK,0.05355921
Celestia,TIA,0.00390772
Metis,METIS,0.00059941
FLOKI,FLOKI,152.3229246
Jupiter,JUP,0.02728297
Dymension,DYM,0.01400202
Portal,PORTAL,0.07541478
Ronin,RONIN,0.01317889
Polkadot,DOT,0.00518847
Uniswap,UNI,0.00290343
Bitcoin Cash,BCH,0.0000651
Worldcoin,WLD,0.01054407
Quant,QNT,0.00031456
